Tree,Asset 1,Asset 2,Family,Kendall's Tau,DF
9,WHL,SHP,gaussian,-0.0047,
9,SHP,SPP,gaussian,0.0213,
9,SBK,CLS,gaussian,-0.0102,
9,SPP,CLS,gaussian,0.0124,
9,CLS,PIK,student,0.0086,12.849103683286906
9,PIK,AFT,gaussian,-0.0012,
9,AFT,SEB,gaussian,0.0089,
9,SEB,ACT,gaussian,0.0094,
9,ACT,EMH,gaussian,-0.0046,
9,PIK,AFT,gaussian,0.007,
9,EMH,EMN,gaussian,-0.0061,
9,AFT,EMN,gaussian,0.0086,
10,MTM,SBK,student,0.0327,23.251727561694985
10,SBK,SPG,gaussian,0.0103,
10,SBK,NTC,gaussian,0.0097,
10,NTC,NED,gaussian,0.0429,
10,SPG,NTC,student,0.0262,19.335065651817544
10,ART,FSR,gaussian,-0.0122,
10,FSR,SLM,gaussian,0.0121,
10,SLM,REM,gaussian,0.016,
10,REM,BVT,gaussian,0.0192,
10,BVT,DSY,gaussian,-0.0143,
10,SPG,NED,student,0.0288,14.174220340625714
10,NED,INL,gaussian,0.0102,
10,INL,NPN,student,0.0357,12.542971357434016
10,NPN,PPC,gaussian,0.0007,
10,DSY,OUT,gaussian,0.0253,
10,PPC,SLM,student,0.0149,19.87026597919718
10,SLM,REM,gaussian,0.0118,
10,REM,BVT,student,0.0818,10.734400718922721
10,BVT,DSY,gaussian,0.0141,
10,DSY,OUT,student,0.0091,15.411342177130916
10,OUT,MTN,gaussian,0.0272,
10,MTN,HDC,gaussian,0.015,
10,HDC,VOD,gaussian,0.0218,
10,HDC,INL,student,0.0161,15.607197047756236
10,INL,ABG,gaussian,-0.0132,
10,ABG,TFG,gaussian,0.0054,
10,TFG,MRP,gaussian,-0.0045,
10,MRP,TRU,student,0.0503,15.709957478505446
10,TRU,WHL,gaussian,0.0264,
10,WHL,SHP,student,0.0539,18.919475060650097
10,SHP,RLO,gaussian,0.0653,
10,RLO,WBO,student,0.0713,12.271776151691117
10,WBO,ADH,gaussian,0.0095,
10,ADH,MST,gaussian,0.0116,
10,SHP,SPP,gaussian,-0.0022,
10,SPP,CLS,gaussian,0.0027,
10,CLS,ABG,gaussian,-0.0161,
10,CLS,PIK,gaussian,0.0043,
10,PIK,AFT,gaussian,0.032,
10,AFT,SEB,gaussian,0.0076,
10,SEB,ACT,gaussian,0.0056,
10,ACT,EMH,gaussian,0.011,
10,EMH,EMN,gaussian,-0.0066,
10,AFT,SEB,gaussian,0.0274,
10,EMN,SEB,gaussian,-0.0042,
11,SBK,SPG,student,-0.0055,24.09526785956196
11,SPG,NED,gaussian,0.0097,
11,NTC,NED,student,0.0124,21.05872433748251
11,NED,CPI,gaussian,-0.0048,
11,NTC,NPK,student,-0.01,15.23573937115395
11,FSR,SLM,student,-0.0049,20.223603823545535
11,SLM,REM,gaussian,0.0055,
11,REM,BVT,gaussian,0.0109,
11,BVT,DSY,student,0.0326,14.313323572635106
11,DSY,OUT,gaussian,-0.0037,
11,NED,INL,gaussian,0.0184,
11,INL,NPN,student,0.0466,20.617909401048014
11,NPN,PPC,gaussian,0.0197,
11,PPC,DTC,gaussian,0.041,
11,OUT,MTN,gaussian,0.0057,
11,SLM,REM,gaussian,-0.0104,
11,REM,BVT,gaussian,0.028,
11,BVT,DSY,gaussian,-0.0018,
11,DSY,OUT,student,-0.012,19.417634986054725
11,OUT,MTN,gaussian,0.0156,
11,MTN,HDC,student,0.0134,20.00225831731107
11,HDC,VOD,gaussian,0.0056,
11,VOD,TKG,gaussian,0.0231,
11,INL,ABG,gaussian,0.0094,
11,ABG,TFG,gaussian,0.0008,
11,TFG,MRP,gaussian,0.038,
11,MRP,TRU,gaussian,0.0112,
11,TRU,WHL,gaussian,0.0126,
11,WHL,SHP,student,0.0547,17.007959710048702
11,SHP,RLO,gaussian,0.0586,
11,RLO,WBO,gaussian,0.0362,
11,WBO,ADH,gaussian,0.0467,
11,ADH,MST,gaussian,0.0024,
11,MST,SPP,student,0.0038,17.11840129676824
11,SPP,CLS,gaussian,0.0073,
11,CLS,PIK,gaussian,0.0138,
11,ABG,SEB,gaussian,0.0194,
11,PIK,AFT,student,0.018,23.6486237997422
11,AFT,SEB,gaussian,0.0122,
11,SEB,ACT,gaussian,-0.0091,
11,ACT,EMH,gaussian,0.0017,
11,EMH,EMN,gaussian,0.0135,
11,EMN,AME,gaussian,0.0061,
11,SEB,AME,student,0.0039,17.835032591307442
12,SPG,NED,gaussian,0.0063,
12,NED,INL,gaussian,0.0185,
12,NED,CPI,gaussian,0.0205,
12,CPI,NPK,gaussian,0.0145,
12,NPK,INL,gaussian,0.0042,
12,SLM,REM,student,-0.0133,16.90702675652767
12,REM,BVT,gaussian,0.0114,
12,BVT,DSY,gaussian,0.0301,
12,DSY,OUT,student,0.0084,15.46356277661311
12,OUT,MTM,gaussian,-0.0054,
12,INL,NPN,student,0.0178,16.721340030125134
12,NPN,PPC,student,0.0237,17.85772330974392
12,PPC,DTC,student,0.0352,15.926950433787717
12,DTC,MTN,student,0.0185,19.56064062742312
12,MTN,HDC,gaussian,0.0252,
12,REM,BVT,student,-0.0088,20.4099378519802
12,BVT,DSY,gaussian,0.0256,
12,DSY,OUT,gaussian,0.004,
12,OUT,MTN,gaussian,-0.0096,
12,MTN,HDC,student,-0.0153,21.37481795531566
12,HDC,VOD,gaussian,0.0489,
12,VOD,TKG,student,0.0155,20.5521264207029
12,TKG,ABG,gaussian,0.0078,
12,ABG,TFG,gaussian,0.0245,
12,TFG,MRP,gaussian,0.013,
12,MRP,TRU,gaussian,0.0014,
12,TRU,WHL,gaussian,0.017,
12,WHL,SHP,gaussian,0.0318,
12,SHP,RLO,gaussian,0.055,
12,RLO,WBO,student,0.0357,20.40841495247968
12,WBO,ADH,student,0.0254,20.022360313139313
12,ADH,MST,gaussian,0.0242,
12,MST,SPP,gaussian,0.0141,
12,SPP,CLS,gaussian,0.0009,
12,CLS,PIK,gaussian,0.005,
12,PIK,AFT,gaussian,0.0213,
12,SEB,ACT,gaussian,-0.0067,
12,AFT,SEB,gaussian,0.0529,
12,SEB,ACT,gaussian,0.011,
12,ACT,EMH,gaussian,0.0089,
12,EMH,EMN,gaussian,0.011,
12,EMN,AME,gaussian,0.016,
12,AME,MRP,gaussian,-0.0063,
13,NED,INL,gaussian,0.0117,
13,INL,NPN,student,0.0309,17.665707099824225
13,CPI,NPK,gaussian,0.0047,
13,NPK,INL,gaussian,0.0002,
13,INL,NPN,gaussian,0.0091,
13,REM,BVT,student,-0.0028,19.635298180977507
13,BVT,DSY,gaussian,0.0002,
13,DSY,OUT,gaussian,0.0238,
13,OUT,MTM,gaussian,-0.0021,
13,MTM,SPG,gaussian,0.0079,
13,NPN,PPC,student,0.0032,14.924554765981581
13,PPC,DTC,student,0.0208,11.589933225281449
13,DTC,MTN,gaussian,0.0416,
13,MTN,HDC,gaussian,0.0048,
13,HDC,VOD,student,0.0333,16.41918381786651
13,BVT,DSY,gaussian,0.0032,
13,DSY,OUT,student,0.0212,18.97064361239751
13,OUT,MTN,gaussian,0.0207,
13,MTN,HDC,gaussian,0.0468,
13,HDC,VOD,gaussian,-0.008,
13,VOD,TKG,gaussian,-0.0117,
13,TKG,ABG,gaussian,0.0162,
13,ABG,TFG,gaussian,-0.0023,
13,TFG,MRP,student,0.0356,22.246981524100068
13,MRP,TRU,gaussian,0.0075,
13,TRU,WHL,gaussian,0.0027,
13,WHL,SHP,gaussian,0.0251,
13,SHP,RLO,student,0.0128,15.465061925784124
13,RLO,WBO,student,0.027,14.517626769841677
